Brand,Model Name,ECommerceName,ECommercePrice,ECommerceStatus,ECommercePdURL
A&K,A&K A 10 (Blue),flipkart,749,1,http://www.flipkart.com/k-10/p/itme73byjaetqen4?pid=MOBE45UEKQXSHG38
A&K,A&K A 1200 (Black),flipkart,695,0,http://www.flipkart.com/k-1200-bk/p/itme3g5ajuypxypg?pid=MOBEFH68JRWTGSHG
A&K,A&K A 2 (Yellow; Black),flipkart,715,1,http://www.flipkart.com/k-bar-phone-2/p/itme6g2dynxzyt5f?pid=MOBEYNCF54TAZUJY
A&K,A&K A 1 (Black; Yellow),snapdeal,680,1,http://www.snapdeal.com//product/ak-a-1-yellow-and/2112885645?tag=New
A&K,A&K A 1 (Black; Yellow),flipkart,715,1,http://www.flipkart.com/k-bar-phone-1/p/itme6gfnhp4k2bzz?pid=MOBEYNCFYHVRWKG2
A&K,A&K A 1 (White; Blue),flipkart,715,1,http://www.flipkart.com/k-bar-phone-1/p/itme6gfnhp4k2bzz?pid=MOBEYNCF5QHPFQCY
A&K,A&K A 10 (Blue),snapdeal,0,1,http://www.snapdeal.com//product/ak-a-10-blue-black/630365465995?tag=New
A&K,A&K A 1 (White; Blue),snapdeal,715,1,http://www.snapdeal.com//product/ak-a-1-white-and/234650931?tag=New
A&K,A&K A 444 (Green),flipkart,1399,1,http://www.flipkart.com/k-444/p/itme73byhu3kxfkk?pid=MOBE3VVKCWRDZQKH
A&K,A&K A 1200 (Black),snapdeal,690,0,http://www.snapdeal.com//product/ak-a-1200-black-gsm/311373171?tag=New
A&K,A&K A 2(Black),snapdeal,715,0,http://www.snapdeal.com//product/ak-a-2-black-gsm/1937969758?tag=New
A&K,A&K A 2 (Yellow; Black),snapdeal,695,1,http://www.snapdeal.com//product/ak-a-2-yellow-and/1707411385?tag=New
A&K,A&K A 333 (White),flipkart,1399,1,http://www.flipkart.com/k-333/p/itme73aznqqsqcwu?pid=MOBE3VVKBWZ7CPDZ
A&K,A&K A 555 (Gold; White),flipkart,1190,1,http://www.flipkart.com/k-bar-phone-555/p/itme6gfkwrggrzaz?pid=MOBEYNCFSKANWNBG
A&K,A&K A 333 (White),snapdeal,1399,1,http://www.snapdeal.com//product/ak-gsm-a-333-white/234350546?tag=New
A&K,A&K A 444 (Green),snapdeal,1399,1,http://www.snapdeal.com//product/ak-gsm-a-444-green/1606136863?tag=New
A&K,A&K A 555 (Gold; White),snapdeal,1190,1,http://www.snapdeal.com//product/ak-a555-32mb-gsm-phone/1878112742?tag=New
A&K,A&K A7 (Black),flipkart,749,1,http://www.flipkart.com/k-a7/p/itme8azxygenh2pg?pid=MOBE44WPHZBPUU9Z
A&K,A&K A10 (White),flipkart,749,0,http://www.flipkart.com/k-a10/p/itme8azxhhbbhxzh?pid=MOBE44WQKENTA8NY
A&K,A&K A10 (Red; Black),flipkart,749,0,http://www.flipkart.com/k-a10/p/itme8azxhhbbhxzh?pid=MOBE44WPPHQUAHHH
A&K,A&K A10 (Yellow; Black),flipkart,749,1,http://www.flipkart.com/k-a10/p/itme8azxhhbbhxzh?pid=MOBE44WQHHEM8YFK
A&K,A&K A 600(Yellow),snapdeal,0,1,http://www.snapdeal.com//product/ak-a-600-blk-yellow/1725198054?tag=New
A&K,A&K A 8(Blue),snapdeal,749,1,http://www.snapdeal.com//product/ak-a-8-dual-sim/636001024183?tag=New
A&K,A&K A7 (Green),flipkart,749,1,http://www.flipkart.com/k-a7/p/itme8azxygenh2pg?pid=MOBE44WQXGFAEEFQ
A&K,A&K A10 (Red; Black),snapdeal,725,0,http://www.snapdeal.com//product/ak-a-10-red-black/630965435009?tag=New
A&K,A&K A10 (Black),snapdeal,725,1,http://www.snapdeal.com//product/ak-a-10-black/620715741346?tag=New
A&K,A&K A7 (Purple),flipkart,749,1,http://www.flipkart.com/k-a7/p/itme8azxygenh2pg?pid=MOBE44WQMY8JBRAN
A&K,A&K A 6,snapdeal,680,0,http://www.snapdeal.com//product/ak-a6-32mb-gsm-phone/1273913670?tag=New
A&K,A&K A8 (Black),flipkart,749,1,http://www.flipkart.com/k-a8/p/itme8azxvy44mtgz?pid=MOBE44WQTQMDEYZU
A&K,A&K A8 (Gold),flipkart,749,1,http://www.flipkart.com/k-a8/p/itme8azxvy44mtgz?pid=MOBE44WQ5USGH9QP
A&K,A&K A10 (Yellow; Black),snapdeal,725,1,http://www.snapdeal.com//product/ak-a-10-yellow-black/645420666138?tag=New
